,Price
2018-01-01,9.665907136715392
2018-01-02,9.870921262744135
2018-01-03,9.875958727429062
2018-01-04,9.781164476108586
2018-01-05,9.843670310772634
2018-01-06,9.843670310772634
2018-01-07,9.843670310772634
2018-01-08,9.895772018179585
2018-01-09,9.888584940425009
2018-01-10,9.834056012774843
2018-01-11,9.739213855791672
2018-01-12,9.641369610612948
2018-01-13,9.641369610612948
2018-01-14,9.641369610612948
2018-01-15,9.581448839208942
2018-01-16,9.552568480530647
2018-01-17,9.590970396757156
2018-01-18,9.535007984277117
2018-01-19,9.57297015108709
2018-01-20,9.57297015108709
2018-01-21,9.57297015108709
2018-01-22,9.55139724849527
2018-01-23,9.51329996314949
2018-01-24,9.425279449699055
2018-01-25,9.438419727306227
2018-01-26,9.419699668345412
2018-01-27,9.419699668345412
2018-01-28,9.419699668345412
2018-01-29,9.05214347131802
2018-01-30,9.004024075666381
2018-01-31,8.860945829750644
2018-02-01,8.626371453138436
2018-02-02,8.718968799901731
2018-02-03,8.718968799901731
2018-02-04,8.718968799901731
2018-02-05,8.650085984522786
2018-02-06,8.49977091266429
2018-02-07,8.598709003807887
2018-02-08,8.40971932195062
2018-02-09,8.273401302051345
2018-02-10,8.273401302051345
2018-02-11,8.273401302051345
2018-02-12,8.253912295786758
2018-02-13,8.403291978872375
2018-02-14,8.386193342341235
2018-02-15,8.328962043974942
2018-02-16,8.38676698194325
2018-02-17,8.38676698194325
2018-02-18,8.38676698194325
2018-02-19,8.38572656921754
2018-02-20,8.522147156368996
2018-02-21,8.565000000000001
2018-02-22,8.572233140891782
2018-02-23,8.568680137575237
2018-02-24,8.568680137575237
2018-02-25,8.568680137575237
2018-02-26,8.327435204520327
2018-02-27,8.234246407075299
2018-02-28,8.214101461736886
2018-03-01,7.945721655816239
2018-03-02,7.872695000614175
2018-03-03,7.872695000614175
2018-03-04,7.872695000614175
2018-03-05,7.965606190885641
2018-03-06,8.031300822994718
2018-03-07,8.046113499570076
2018-03-08,8.091072349834173
2018-03-09,8.114021618965728
2018-03-10,8.114021618965728
2018-03-11,8.114021618965728
2018-03-12,8.051233877901977
2018-03-13,8.055137575236458
2018-03-14,8.045276992998403
2018-03-15,8.081079105760963
2018-03-16,7.986074192359661
2018-03-17,7.986074192359661
2018-03-18,7.986074192359661
2018-03-19,7.916797690701388
2018-03-20,8.066665028866232
2018-03-21,7.9696014003193705
2018-03-22,7.982233140891783
2018-03-23,7.939881464193587
2018-03-24,7.939881464193587
2018-03-25,7.939881464193587
2018-03-26,7.8632483724358195
2018-03-27,7.89363837366417
2018-03-28,7.939365557056872
2018-03-29,7.93328890799656
2018-03-30,7.9196259673258815
2018-03-31,7.9196259673258815
2018-04-01,7.9196259673258815
2018-04-02,7.90735290504852
2018-04-03,8.017871268885884
2018-04-04,7.993925807640339
2018-04-05,8.093729271588257
2018-04-06,8.11099619211399
2018-04-07,8.11099619211399
2018-04-08,8.11099619211399
2018-04-09,8.184788109568848
2018-04-10,8.152659378454736
2018-04-11,8.154533841051467
2018-04-12,8.16183147033534
2018-04-13,8.157807394668959
2018-04-14,8.157807394668959
2018-04-15,8.157807394668959
2018-04-16,8.126620808254515
2018-04-17,8.068112025549686
2018-04-18,8.056188428939935
2018-04-19,8.13779879621668
2018-04-20,8.17698562830119
2018-04-21,8.17698562830119
2018-04-22,8.17698562830119
2018-04-23,8.22420464316423
2018-04-24,8.194079351431027
2018-04-25,8.24724173934406
2018-04-26,8.292434590345167
2018-04-27,8.283493428325757
2018-04-28,8.283493428325757
2018-04-29,8.283493428325757
2018-04-30,8.669509274044957
2018-05-01,8.762018179584818
2018-05-02,8.72568849035745
2018-05-03,8.719065225402284
2018-05-04,8.755377103549932
2018-05-05,8.755377103549932
2018-05-06,8.755377103549932
2018-05-07,8.782603488514924
2018-05-08,8.913533963886499
2018-05-09,9.027758260655938
2018-05-10,9.046625107480654
2018-05-11,9.091919911558778
2018-05-12,9.091919911558778
2018-05-13,9.091919911558778
2018-05-14,9.223397002825207
2018-05-15,9.282319125414569
2018-05-16,9.320997420464316
2018-05-17,9.367351676698194
2018-05-18,9.345210662080826
2018-05-19,9.345210662080826
2018-05-20,9.345210662080826
2018-05-21,9.33420464316423
2018-05-22,9.343009458297505
2018-05-23,9.404894976047169
2018-05-24,9.390335339638865
2018-05-25,9.429552880481513
2018-05-26,9.429552880481513
2018-05-27,9.429552880481513
2018-05-28,9.452626827171109
2018-05-29,10.016835769561478
2018-05-30,10.08018056749785
2018-05-31,9.979609384596486
2018-06-01,10.044485935388773
2018-06-02,10.044485935388773
2018-06-03,10.044485935388773
2018-06-04,10.058941162019408
2018-06-05,9.948121852352292
2018-06-06,9.891060066330917
2018-06-07,9.932568480530648
2018-06-08,9.968787618228719
2018-06-09,9.968787618228719
2018-06-10,9.968787618228719
2018-06-11,10.023646357941285
2018-06-12,10.124702125046063
2018-06-13,10.079065839577448
2018-06-14,10.271591327846702
2018-06-15,10.226545878884659
2018-06-16,10.226545878884659
2018-06-17,10.226545878884659
2018-06-18,10.229337919174547
2018-06-19,10.281451910084757
2018-06-20,10.237371944478566
2018-06-21,10.16366539737133
2018-06-22,10.116496744871638
